id,title,view,label
147,"['covid', 'endemi', 'dinas', 'sehat', 'kota', 'batu', 'kebut', 'vaksinasi']",12335,populer
148,"['dorong', 'ekonomi', 'mendag', 'ingat', 'kendor', 'lawan', 'covid']",3451,populer
149,"['efek', 'covid', 'klaim', 'bpjs', 'ketenagakerjaan', 'malang', 'tembus', 'rp']",8348,populer
150,"['fisip', 'ub', 'beber', 'paradoks', 'tangan', 'covid']",8232,populer
151,"['evaluasi', 'ptmt', 'ajar', 'smp', 'kota', 'malang', 'positif', 'covid']",3080,populer
152,"['airlangga', 'jaga', 'momentum', 'kendali', 'covid', 'pen']",8616,populer
153,"['stok', 'limpah', 'pemkab', 'sedia', 'jenis', 'vaksin', 'covid']",6830,populer
154,"['nal', 'simas', 'covid', 'gamipro', 'asuransi', 'sinar', 'mas']",14143,populer
155,"['ribu', 'anak', 'indonesia', 'yatim', 'piatu', 'akibat', 'covid']",10424,populer
156,"['ramah', 'kapolri', 'sambang', 'anak', 'korban', 'covid', 'malang']",1434,populer
157,"['posko', 'bantu', 'tangan', 'covid', 'malang', 'raya', 'jalan']",14793,populer
158,"['apresiasi', 'golkar', 'sukses', 'jokowima', 'ruf', 'kendali', 'covid']",5609,populer
159,"['nihil', 'covid', 'dinkes', 'dewan', 'kota', 'malang', 'galau', 'gegara', 'ptm']",9065,populer
160,"['zona', 'merah', 'covid', 'amerika', 'larang', 'warga', 'masuk', 'singapura']",1717,populer
161,"['menko', 'airlangga', 'upaya', 'perintah', 'tangan', 'covid']",14442,populer
162,"['tracing', 'pasien', 'covid', 'kota', 'malang', 'penuh', 'populert', 'who']",11797,populer
163,"['covid', 'landai', 'waspada', 'event', 'nasional', 'libur', 'nataru']",6623,populer
164,"['sembuh', 'covid', 'antibodi', 'kebal']",14375,populer
165,"['waspada', 'lonjak', 'covid', 'pemkot', 'malang', 'panjang', 'sewa', 'safe', 'house', 'kawi']",976,populer
166,"['jelang', 'nataru', 'dewan', 'pemkot', 'batu', 'siaga', 'covid', 'gelombang', 'tiga']",13341,populer
167,"['covid', 'landai', 'bor', 'rs', 'isoter', 'kota', 'malang', 'turun']",10024,populer
168,"['bulan', 'jalan', 'ptm', 'kota', 'malang', 'aman', 'klaster', 'covid']",7463,populer
169,"['ptm', 'kota', 'malang', 'nihil', 'covid', 'swab', 'random', 'sekolah', 'capai', 'jiwa']",10492,populer
170,"['teliti', 'varian', 'covid', 'cepat', 'tular']",1856,populer
171,"['cegah', 'klaster', 'smp', 'malang', 'kuat', 'satgas', 'covid', 'sekolah']",13820,populer
172,"['pandemi', 'covid', 'landai', 'vila', 'songgoriti', 'datang', 'langgan']",7736,populer
173,"['covid', 'kabupaten', 'malang', 'tinggi', 'sejatim']",7863,populer
174,"['update', 'covid', 'bor', 'igd', 'kota', 'malang', 'tinggal', 'persen']",14511,populer
175,"['satreskrim', 'polresta', 'malang', 'periksa', 'saksi', 'pungli', 'makam', 'covid']",3517,populer
176,"['covid', 'landai', 'volume', 'tumpang', 'bus']",13537,populer
177,"['catat', 'sintas', 'covid', 'vaksin', 'bulan', 'sembuh']",2720,populer
178,"['covid', 'singapura', 'gila', 'tembus']",9297,populer
179,"['kabupaten', 'malang', 'nol', 'mati', 'akibat', 'covid']",7609,populer
180,"['persen', 'pasien', 'covid', 'komorbid', 'jantung', 'cegah']",8478,populer
181,"['cegah', 'klaster', 'covid', 'sekolah', 'rencana', 'pemkot', 'batu']",8311,populer
182,"['ayah', 'vonis', 'pdp', 'covid', 'anak', 'gugat', 'rs', 'surabaya', 'rp', 'miliar']",2554,populer
183,"['heboh', 'klaster', 'sekolah', 'jatim', 'satgas', 'tangan', 'covid']",3406,populer
184,"['tarif', 'rapid', 'test', 'covid', 'stasiun', 'turun', 'rp', 'ribu']",5262,populer
185,"['ptm', 'sekolah', 'jatim', 'klaster', 'covid']",12148,populer
186,"['polisi', 'gelar', 'perkara', 'punglipenggelapan', 'dana', 'makam', 'covid']",7554,populer
187,"['infeksi', 'covid', 'picu', 'orang', 'pasien', 'alami', 'lumpuh']",2553,populer
188,"['positivity', 'rate', 'persen', 'covid', 'aktif', 'kota', 'malang', 'digit']",11169,populer
189,"['ribu', 'warga', 'lansia', 'kota', 'malang', 'vaksin', 'covid']",8673,populer
190,"['pdgi', 'jatim', 'malang', 'sukses', 'gelar', 'vaksinasi', 'massal', 'covid']",1083,populer
191,"['pemkot', 'malang', 'serius', 'rencana', 'beasiswa', 'anak', 'yatim', 'dampak', 'covid']",12072,populer
192,"['bocah', 'yatim', 'piatu', 'korban', 'covid', 'anak', 'asuh', 'polres', 'malang']",14381,populer
193,"['ratus', 'dagang', 'kena', 'covid', 'chinatown', 'singapura', 'kota', 'mati']",6523,populer
194,"['santri', 'alitihad', 'sunti', 'kebal', 'covid']",14030,populer
195,"['antibodi', 'covid', 'turun', 'drastis', 'vaksinasi', 'sehat']",14251,populer
